1733042400,1.0,1.0,0.9999,1.0,544291.6195100901,29
1733042460,0.9999,0.9999,0.9999,0.9999,198.0198,1
1733042520,0.9999,1.0,0.9999,1.0,1060.47186275,4
1733042580,1.0,1.0,1.0,1.0,1084.74059395,2
1733042640,1.0,1.0,1.0,1.0,2104.6596,2
1733042700,1.0,1.0,1.0,1.0,3260.91383034,3
1733042760,1.0,1.0,1.0,1.0,3095.82327855,3
1733042820,1.0,1.0,1.0,1.0,151.1744,1
1733042940,1.0,1.0,1.0,1.0,4730.17998677,7
1733043000,1.0,1.0,1.0,1.0,5000.0,1
1733043060,0.9999,0.9999,0.9999,0.9999,1961.4656,2
1733043360,0.9999,0.9999,0.9999,0.9999,3000.00000021,1
1733043480,1.0,1.0,0.9999,0.9999,339.3266,2
1733043540,1.0,1.0,1.0,1.0,1900.77,1
1733043660,0.9999,0.9999,0.9999,0.9999,98.0256,1
1733043720,0.9999,0.9999,0.9999,0.9999,2944.8221,1
1733043780,0.9999,1.0,0.9999,1.0,14755.43929869,11
1733043840,1.0,1.0,1.0,1.0,768.2567,1
1733043900,1.0,1.0,1.0,1.0,79.5227,1
1733043960,0.9999,0.9999,0.9999,0.9999,13.1092,1
1733044020,0.9999,1.0,0.9999,1.0,4800.47279272,2
1733044080,0.9999,0.9999,0.9999,0.9999,1133.6629,2
1733044140,0.9999,1.0,0.9999,1.0,4988.774912,3
1733044200,0.9999,0.9999,0.9999,0.9999,641.53716621,2
1733044260,1.0,1.0,1.0,1.0,26008.3061,1
1733044320,1.0,1.0,1.0,1.0,93.0523,1
1733044380,0.9999,0.9999,0.9999,0.9999,256.4971,2
1733044440,1.0,1.0,1.0,1.0,2.4233,1
1733044500,0.9999,1.0,0.9999,0.9999,5027.64772731,3
1733044620,0.9999,0.9999,0.9999,0.9999,1256.865,1
1733044740,1.0,1.0,1.0,1.0,147033.3155,2
1733044860,1.0,1.0,1.0,1.0,24.24,1
1733044920,1.0,1.0,1.0,1.0,333.45540683,1
1733045100,0.9999,1.0,0.9999,1.0,9416.95698011,2
1733045160,1.0,1.0,0.9999,0.9999,463.61785451,2
1733045220,0.9999,0.9999,0.9999,0.9999,13206.77703426,2
1733045280,0.9999,0.9999,0.9999,0.9999,17045.75334875,1
1733045400,1.0,1.0,1.0,1.0,1042.35526443,1
1733045460,0.9999,0.9999,0.9999,0.9999,4888.5432441,1
1733045520,0.9999,0.9999,0.9999,0.9999,17105.41834183,1
1733045580,1.0,1.0,1.0,1.0,947.7637,1
1733045640,1.0,1.0,0.9999,0.9999,1110.74041761,2
1733045700,1.0,1.0,1.0,1.0,34.79171041,1
1733045880,1.0,1.0,1.0,1.0,100.0,1
1733045940,1.0,1.0,1.0,1.0,188.2394,1
1733046000,1.0,1.0,0.9999,0.9999,56.3132,4
1733046060,1.0,1.0,0.9999,0.9999,26.124,2
1733046120,0.9999,1.0,0.9999,0.9999,160.6378,3
1733046180,1.0,1.0,0.9999,0.9999,24794.17562644,9
1733046240,1.0,1.0,1.0,1.0,25428.8179,3
1733046300,0.9999,1.0,0.9999,1.0,8109.7223,4
1733046360,1.0,1.0,1.0,1.0,43.2025,2
1733046420,1.0,1.0,1.0,1.0,173.6391,2
1733046480,0.9999,0.9999,0.9999,0.9999,136.8986,1
1733046540,0.9999,0.9999,0.9999,0.9999,25.75607089,1
1733046660,0.9999,0.9999,0.9999,0.9999,1585.45900388,2
1733046780,0.9999,0.9999,0.9999,0.9999,126.93171404,1
1733046840,0.9999,0.9999,0.9999,0.9999,35.753355,1
